event_id,user_email,event_type,time_stamp,event_name,event_status
8509934,lucinda.ankunding3@gmail.com,capsule,2021-03-07,computation,stopped
8509939,kavon90@yahoo.com,dataset,2021-06-05,view,failed
8509944,norma_crona19@gmail.com,dataset,2021-07-18,computation,failed
8509949,carter.carroll@yahoo.com,dataset,2021-07-15,create,failed
8509954,darien50@yahoo.com,capsule,2021-08-27,computation,stopped
8509959,rodger_cronin@gmail.com,dataset,2021-04-02,view,failed
8509964,kavon90@yahoo.com,dataset,2021-03-30,computation,completed
8509969,norma_crona19@gmail.com,dataset,2021-02-18,view,stopped
8509974,darien50@yahoo.com,capsule,2021-01-24,create,failed
8509979,myles31@yahoo.com,capsule,2021-08-28,view,failed
8509984,raphael41@yahoo.com,capsule,2021-09-09,create,stopped
8509989,myles31@yahoo.com,dataset,2021-12-25,view,failed
8509994,allen.cormier@yahoo.com,dataset,2021-10-10,create,failed
8509999,cordell_hackett@yahoo.com,capsule,2021-09-22,create,completed
8510004,luisa.bartell@gmail.com,capsule,2021-02-08,computation,stopped
8510009,kenna11@hotmail.com,capsule,2021-06-06,create,completed
8510014,dino99@gmail.com,capsule,2021-01-08,create,completed
8510019,kavon90@yahoo.com,dataset,2021-08-12,view,failed
8510024,gonzalo20@yahoo.com,dataset,2021-05-13,computation,stopped
8510029,sammie.stracke3@gmail.com,capsule,2021-12-04,computation,failed
8510034,sammie.stracke3@gmail.com,capsule,2021-07-14,view,failed
8510039,aileen.muller@hotmail.com,capsule,2021-01-31,create,completed
8510044,luisa.bartell@gmail.com,dataset,2021-04-01,view,completed
8510049,kenna11@hotmail.com,dataset,2021-11-25,computation,completed
8510054,winfield.mcclure50@gmail.com,dataset,2021-07-30,view,completed
8510059,ezekiel95@yahoo.com,dataset,2021-11-16,computation,stopped
8510064,gonzalo20@yahoo.com,dataset,2021-02-24,computation,completed
8510069,sierra22@yahoo.com,dataset,2021-06-24,create,completed
8510074,angelina.block@hotmail.com,dataset,2021-10-09,create,completed
8510079,alexandro.wyman@gmail.com,capsule,2021-07-31,create,stopped
8510084,sierra22@yahoo.com,dataset,2021-11-04,view,stopped
8510089,lucinda.ankunding3@gmail.com,capsule,2021-09-24,create,completed
8510094,chance_murazik90@gmail.com,dataset,2021-01-02,view,stopped
8510099,lucinda.ankunding3@gmail.com,capsule,2021-01-15,view,failed
8510104,dino99@gmail.com,dataset,2021-04-21,computation,completed
8510109,raphael41@yahoo.com,capsule,2021-08-07,view,stopped
8510114,alex_jones@yahoo.com,capsule,2021-09-03,create,completed
8510119,gonzalo20@yahoo.com,dataset,2021-05-17,computation,stopped
8510124,sammie.stracke3@gmail.com,dataset,2021-11-27,computation,failed
8510129,melany45@gmail.com,dataset,2021-02-13,view,completed
8510134,jayde_daugherty@yahoo.com,capsule,2021-10-24,view,completed
8510139,chance_murazik90@gmail.com,capsule,2021-09-30,view,completed
8510144,ambrose.leuschke@hotmail.com,capsule,2021-02-19,computation,stopped
8510149,thelma.herman@hotmail.com,capsule,2021-02-08,computation,completed
8510154,haleigh76@gmail.com,capsule,2021-12-06,view,completed
8510159,ezekiel95@yahoo.com,dataset,2021-11-30,view,stopped
8510164,reece_gorczany38@hotmail.com,capsule,2021-06-17,view,stopped
8510169,luisa.bartell@gmail.com,capsule,2021-04-09,view,failed
8510174,stanford94@yahoo.com,capsule,2021-02-07,create,completed
8510179,kenna11@hotmail.com,dataset,2021-03-22,computation,completed
8510184,cordell_hackett@yahoo.com,capsule,2021-11-28,create,failed
8510189,angelina.block@hotmail.com,dataset,2021-01-08,computation,stopped
8510194,sierra22@yahoo.com,dataset,2021-02-22,computation,stopped
8510199,ezekiel95@yahoo.com,capsule,2021-07-09,view,completed
8510204,cordell_hackett@yahoo.com,capsule,2021-02-16,view,failed
8510209,myles31@yahoo.com,dataset,2021-03-12,computation,stopped
8510214,andy.kshlerin67@gmail.com,dataset,2021-01-04,create,completed
8510219,lucinda.ankunding3@gmail.com,dataset,2021-03-23,view,failed
8510224,nikki.pfeffer33@hotmail.com,capsule,2021-02-07,computation,failed
8510229,luisa.bartell@gmail.com,dataset,2021-09-19,computation,failed
8510234,angelina.block@hotmail.com,dataset,2021-03-11,computation,completed
8510239,reece_gorczany38@hotmail.com,capsule,2021-09-26,create,completed
8510244,ezekiel95@yahoo.com,dataset,2021-06-02,view,completed
8510249,norma_crona19@gmail.com,dataset,2021-01-06,computation,completed
8510254,joanie.crooks60@yahoo.com,dataset,2021-05-07,view,completed
8510259,maximillian_bayer@hotmail.com,capsule,2021-02-19,computation,completed
8510264,andy.kshlerin67@gmail.com,capsule,2021-09-16,view,failed
8510269,myles31@yahoo.com,dataset,2021-11-01,computation,completed
8510274,gonzalo20@yahoo.com,dataset,2021-12-12,create,failed
8510279,aileen.muller@hotmail.com,dataset,2021-03-18,create,stopped
8510284,winfield.mcclure50@gmail.com,dataset,2021-05-25,computation,stopped
8510289,ezekiel95@yahoo.com,capsule,2021-01-18,create,stopped
8510294,kavon90@yahoo.com,capsule,2021-03-18,computation,completed
8510299,ryder.blick@yahoo.com,dataset,2021-03-09,computation,stopped
8510304,ryder.blick@yahoo.com,dataset,2021-01-23,computation,failed
8510309,lucinda.ankunding3@gmail.com,dataset,2021-08-30,create,failed
8510314,kavon90@yahoo.com,capsule,2021-04-26,create,completed
8510319,luisa.bartell@gmail.com,dataset,2021-01-21,create,stopped
8510324,margaretta_langosh86@gmail.com,dataset,2021-03-03,view,failed
8510329,alexandro.wyman@gmail.com,capsule,2021-09-27,view,failed
8510334,haleigh76@gmail.com,capsule,2021-09-26,create,stopped
8510339,joanie.crooks60@yahoo.com,dataset,2021-02-05,computation,completed
8510344,lucinda.ankunding3@gmail.com,dataset,2021-07-16,view,stopped
8510349,monica_botsford8@gmail.com,dataset,2021-10-15,create,failed
8510354,sierra22@yahoo.com,dataset,2021-10-17,create,stopped
8510359,gonzalo20@yahoo.com,capsule,2021-01-25,create,completed
8510364,cordell_hackett@yahoo.com,capsule,2021-07-21,view,stopped
8510369,carter.carroll@yahoo.com,dataset,2021-12-15,computation,completed
8510374,savanah.spinka43@gmail.com,capsule,2021-01-05,view,failed
8510379,cordell_hackett@yahoo.com,dataset,2021-12-30,view,failed
8510384,angelina.block@hotmail.com,dataset,2021-10-01,view,stopped
8510389,brandyn_armstrong91@gmail.com,dataset,2021-02-17,computation,stopped
8510394,alexandro.wyman@gmail.com,dataset,2021-10-04,computation,completed
8510399,melany45@gmail.com,dataset,2021-02-05,create,failed
8510404,fay83@hotmail.com,capsule,2021-10-30,create,completed
8510409,geoffrey.collier@gmail.com,capsule,2021-10-12,view,completed
8510414,alexandro.wyman@gmail.com,dataset,2021-12-06,view,stopped
8510419,kenna11@hotmail.com,capsule,2021-08-19,view,completed
8510424,margaretta_langosh86@gmail.com,capsule,2021-04-15,view,stopped
8510429,lucinda.ankunding3@gmail.com,capsule,2021-02-25,view,stopped
8510434,sammie.stracke3@gmail.com,dataset,2021-02-06,view,failed
8510439,margaretta_langosh86@gmail.com,capsule,2021-02-10,computation,failed
8510444,winfield.mcclure50@gmail.com,capsule,2021-11-07,computation,completed
8510449,winfield.mcclure50@gmail.com,capsule,2021-06-13,computation,stopped
8510454,nelda_ebert@hotmail.com,dataset,2021-05-10,view,completed
8510459,maximillian_bayer@hotmail.com,dataset,2021-12-06,computation,completed
